file_path,invoice_id,vendor,date,total,invoice_number
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20074433_from_Franks_Quality_Produce_18802791_20408 (1).pdf,20074433,franksproduce,07/22/2025,45.28,20074433
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20074433_from_Franks_Quality_Produce_18802791_20408.pdf,20074433,franksproduce,07/22/2025,45.28,20074433
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20075310_from_Franks_Quality_Produce_18842235_13952.jpg,0,franksproduce,07/28/2025,,0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20075310_from_Franks_Quality_Produce_18842235_13952.pdf,20075310,franksproduce,07/28/2025,74.26,20075310
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20076301_from_Franks_Quality_Produce_18887473_13748 (1).pdf,20076301,franksproduce,08/04/2025,78.12,20076301
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20076301_from_Franks_Quality_Produce_18887473_13748.pdf,20076301,franksproduce,08/04/2025,78.12,20076301
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20077622_from_Franks_Quality_Produce_18946409_7596 (1).pdf,20077622,franksproduce,08/13/2025,79.11,20077622
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20077622_from_Franks_Quality_Produce_18946409_7596.jpg,0,franksproduce,08/13/2025,,0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20077622_from_Franks_Quality_Produce_18946409_7596.pdf,20077622,franksproduce,08/13/2025,79.11,20077622
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20078834_from_Franks_Quality_Produce_18994615_32132 (1).jpg,0,franksproduce,08/21/2025,,0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20078834_from_Franks_Quality_Produce_18994615_32132 (1).pdf,20078834,franksproduce,08/21/2025,53.35,20078834
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20078834_from_Franks_Quality_Produce_18994615_32132.jpg,0,franksproduce,08/21/2025,,0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20078834_from_Franks_Quality_Produce_18994615_32132.pdf,20078834,franksproduce,08/21/2025,53.35,20078834
